i,j,k,xi1,xi2,xi3,u1,Sig,delta,u2,u3,P_interp,Phi,resid,abs_resid
1,4,8,-0.8333333333333334,-0.33333333333333337,0.33333333333333326,-2.3978952727983707,-1.039720770839918,1.0397207708399177,-2.220446049250313e-16,-1.0397207708399179,0.3277533457499443,0.041905550003844744,-0.28584779574609953,0.28584779574609953
1,4,9,-0.8333333333333334,-0.33333333333333337,0.5,-2.3978952727983707,-1.039720770839918,1.6479184330021646,0.30409883108112323,-1.3438196019210413,0.33114392860021086,0.028411254198294364,-0.3027326744019165,0.3027326744019165
1,4,10,-0.8333333333333334,-0.33333333333333337,0.6666666666666665,-2.3978952727983707,-1.039720770839918,2.41415686865115,0.6872180489056159,-1.726938819745534,0.333330094318074,0.07317260211874688,-0.2601574921993271,0.2601574921993271
1,4,11,-0.8333333333333334,-0.33333333333333337,0.8333333333333333,-2.3978952727983707,-1.039720770839918,3.596842909197555,1.2785610691788185,-2.3182818400187366,0.33333333316736624,0.1956460353929964,-0.13768729777436983,0.13768729777436983
1,5,1,-0.8333333333333334,-0.16666666666666674,-0.8333333333333334,-2.3978952727983707,-0.5047083549318196,-3.596842909197556,-2.050775632064688,1.546067277132868,0.3333333333332336,0.23521681244785625,-0.09811652088537737,0.09811652088537737
1,5,2,-0.8333333333333334,-0.16666666666666674,-0.6666666666666667,-2.3978952727983707,-0.5047083549318196,-2.414156868651151,-1.4594326117914855,0.9547242568596658,0.333332871109214,0.09557633310486605,-0.23775653800434796,0.23775653800434796
1,5,3,-0.8333333333333334,-0.16666666666666674,-0.5,-2.3978952727983707,-0.5047083549318196,-1.6479184330021646,-1.0763133939669922,0.5716050390351725,0.3333289697983038,0.04983224078393979,-0.283496729014364,0.283496729014364
1,5,4,-0.8333333333333334,-0.16666666666666674,-0.33333333333333337,-2.3978952727983707,-0.5047083549318196,-1.039720770839918,-0.7722145628858689,0.2675062079540492,0.3313435110743131,0.06159425313002026,-0.26974925794429283,0.26974925794429283
1,5,5,-0.8333333333333334,-0.16666666666666674,-0.16666666666666674,-2.3978952727983707,-0.5047083549318196,-0.5047083549318196,-0.5047083549318196,0.0,0.3290578681810906,0.13938022785112586,-0.18967764032996476,0.18967764032996476
1,5,6,-0.8333333333333334,-0.16666666666666674,0.0,-2.3978952727983707,-0.5047083549318196,0.0,-0.2523541774659098,-0.2523541774659098,0.32389525392477636,0.06447969761435529,-0.25941555631042107,0.25941555631042107
1,5,7,-0.8333333333333334,-0.16666666666666674,0.16666666666666652,-2.3978952727983707,-0.5047083549318196,0.504708354931819,-3.3306690738754696e-16,-0.5047083549318193,0.32905786817871174,0.1319442883308911,-0.19711357984782063,0.19711357984782063
1,5,8,-0.8333333333333334,-0.16666666666666674,0.33333333333333326,-2.3978952727983707,-0.5047083549318196,1.0397207708399177,0.267506207954049,-0.7722145628858686,0.3313435110765986,0.0714606050993887,-0.25988290597720987,0.25988290597720987
1,5,9,-0.8333333333333334,-0.16666666666666674,0.5,-2.3978952727983707,-0.5047083549318196,1.6479184330021646,0.5716050390351725,-1.0763133939669922,0.33332896980315224,0.06489971736552039,-0.2684292524376318,0.2684292524376318
1,5,10,-0.8333333333333334,-0.16666666666666674,0.6666666666666665,-2.3978952727983707,-0.5047083549318196,2.41415686865115,0.9547242568596651,-1.4594326117914846,0.33333287111262394,0.07417338060197767,-0.25915949051064624,0.25915949051064624
1,5,11,-0.8333333333333334,-0.16666666666666674,0.8333333333333333,-2.3978952727983707,-0.5047083549318196,3.596842909197555,1.5460672771328676,-2.0507756320646875,0.3333333333332336,0.2000734539600199,-0.1332598793732137,0.1332598793732137
1,6,1,-0.8333333333333334,0.0,-0.8333333333333334,-2.3978952727983707,0.0,-3.596842909197556,-1.798421454598778,1.798421454598778,0.3333333333349003,0.3027606693937358,-0.03057266394116448,0.03057266394116448
